Designator,Mid X,Mid Y,Layer,Rotation
D1,50.0250mm,-84.5250mm,Bottom,180.000
D2,69.0750mm,-84.5250mm,Bottom,90.000
D3,72.3750mm,-74.2750mm,Bottom,270.000
D4,91.4250mm,-74.2750mm,Bottom,270.000
D5,110.4750mm,-74.2750mm,Bottom,270.000
D6,129.5250mm,-74.2750mm,Bottom,270.000
D7,148.5750mm,-74.2750mm,Bottom,270.000
D8,54.7875mm,-103.5750mm,Bottom,180.000
D9,64.6000mm,-89.5750mm,Bottom,180.000
D10,83.6500mm,-89.5750mm,Bottom,180.000
D11,102.7000mm,-89.5750mm,Bottom,180.000
D12,121.7500mm,-89.5750mm,Bottom,180.000
D13,140.8000mm,-89.5750mm,Bottom,180.000
D14,57.1687mm,-122.6250mm,Bottom,180.000
D15,69.3625mm,-108.6250mm,Bottom,180.000
D16,88.4125mm,-108.6250mm,Bottom,180.000
D17,107.4625mm,-108.6250mm,Bottom,180.000
D18,126.5125mm,-108.6250mm,Bottom,180.000
D19,145.5625mm,-108.6250mm,Bottom,180.000
D20,50.0250mm,-141.6750mm,Bottom,180.000
D21,57.4563mm,-127.6750mm,Bottom,180.000
D22,78.8875mm,-127.6750mm,Bottom,180.000
D23,97.9375mm,-127.6750mm,Bottom,180.000
D24,116.9875mm,-127.6750mm,Bottom,180.000
D25,136.0375mm,-127.6750mm,Bottom,180.000
D26,155.0875mm,-127.6750mm,Bottom,180.000
D27,54.9063mm,-156.9750mm,Bottom,180.000
D28,62.2188mm,-146.7250mm,Bottom,180.000
D29,86.0313mm,-146.7250mm,Bottom,180.000
D30,114.6063mm,-146.7250mm,Bottom,180.000
D31,147.9438mm,-146.7250mm,Bottom,180.000
SW1,45.5250mm,-72.6750mm,Bottom,180.000
SW2,59.5750mm,-82.3750mm,Bottom,0.000
SW3,78.6250mm,-82.3750mm,Bottom,0.000
SW4,97.6750mm,-82.3750mm,Bottom,0.000
SW5,116.7250mm,-82.3750mm,Bottom,0.000
SW6,135.7750mm,-82.3750mm,Bottom,0.000
SW7,154.8250mm,-82.3750mm,Bottom,0.000
SW8,50.2875mm,-91.7250mm,Bottom,180.000
SW9,69.1000mm,-101.4250mm,Bottom,0.000
SW10,88.1500mm,-101.4250mm,Bottom,0.000
SW11,107.2000mm,-101.4250mm,Bottom,0.000
SW12,126.2500mm,-101.4250mm,Bottom,0.000
SW13,145.3000mm,-101.4250mm,Bottom,0.000
SW14,52.6687mm,-110.7750mm,Bottom,180.000
SW15,73.8625mm,-120.4750mm,Bottom,0.000
SW16,92.9125mm,-120.4750mm,Bottom,0.000
SW17,111.9625mm,-120.4750mm,Bottom,0.000
SW18,131.0125mm,-120.4750mm,Bottom,0.000
SW19,150.0625mm,-120.4750mm,Bottom,0.000
SW20,45.5250mm,-129.8250mm,Bottom,180.000
SW21,61.9563mm,-139.5250mm,Bottom,0.000
SW22,83.3875mm,-139.5250mm,Bottom,0.000
SW23,102.4375mm,-139.5250mm,Bottom,0.000
SW24,121.4875mm,-139.5250mm,Bottom,0.000
SW25,140.5375mm,-139.5250mm,Bottom,0.000
SW26,159.5875mm,-139.5250mm,Bottom,0.000
SW27,47.9063mm,-148.8750mm,Bottom,180.000
SW28,66.7188mm,-158.5750mm,Bottom,0.000
SW29,90.5313mm,-158.5750mm,Bottom,0.000
SW30,119.1063mm,-158.5750mm,Bottom,0.000
SW31,152.4438mm,-158.5750mm,Bottom,0.000
