Designator,Mid X,Mid Y,Layer,Rotation
D1,59.5500mm,-84.5250mm,Bottom,180.000
D2,78.6000mm,-84.5250mm,Bottom,90.000
D3,81.9000mm,-74.2750mm,Bottom,270.000
D4,100.9500mm,-74.2750mm,Bottom,270.000
D5,120.0000mm,-74.2750mm,Bottom,270.000
D6,139.0500mm,-74.2750mm,Bottom,270.000
D7,160.4813mm,-74.2750mm,Bottom,270.000
D8,181.9125mm,-74.2750mm,Bottom,270.000
D9,50.0250mm,-103.5750mm,Bottom,180.000
D10,55.0750mm,-89.5750mm,Bottom,180.000
D11,74.1250mm,-89.5750mm,Bottom,180.000
D12,93.1750mm,-89.5750mm,Bottom,180.000
D13,112.2250mm,-89.5750mm,Bottom,180.000
D14,131.2750mm,-89.5750mm,Bottom,180.000
D15,150.3250mm,-89.5750mm,Bottom,180.000
D16,176.5188mm,-89.5750mm,Bottom,180.000
D17,54.7875mm,-122.6250mm,Bottom,180.000
D18,59.8375mm,-108.6250mm,Bottom,180.000
D19,78.8875mm,-108.6250mm,Bottom,180.000
D20,97.9375mm,-108.6250mm,Bottom,180.000
D21,116.9875mm,-108.6250mm,Bottom,180.000
D22,136.0375mm,-108.6250mm,Bottom,180.000
D23,159.8500mm,-108.6250mm,Bottom,180.000
D24,183.6625mm,-108.6250mm,Bottom,180.000
D25,64.3125mm,-141.6750mm,Bottom,180.000
D26,69.3625mm,-127.6750mm,Bottom,180.000
D27,88.4125mm,-127.6750mm,Bottom,180.000
D28,107.4625mm,-127.6750mm,Bottom,180.000
D29,126.5125mm,-127.6750mm,Bottom,180.000
D30,145.5625mm,-127.6750mm,Bottom,180.000
D31,164.6125mm,-127.6750mm,Bottom,180.000
D32,183.6625mm,-127.6750mm,Bottom,180.000
D33,66.8125mm,-156.9750mm,Bottom,180.000
D34,76.5063mm,-146.7250mm,Bottom,180.000
D35,105.0813mm,-146.7250mm,Bottom,180.000
D36,126.5125mm,-146.7250mm,Bottom,180.000
D37,145.5625mm,-146.7250mm,Bottom,180.000
D38,164.6125mm,-146.7250mm,Bottom,180.000
D39,183.6625mm,-146.7250mm,Bottom,180.000
SW1,55.0500mm,-72.6750mm,Bottom,180.000
SW2,69.1000mm,-82.3750mm,Bottom,0.000
SW3,88.1500mm,-82.3750mm,Bottom,0.000
SW4,107.2000mm,-82.3750mm,Bottom,0.000
SW5,126.2500mm,-82.3750mm,Bottom,0.000
SW6,145.3000mm,-82.3750mm,Bottom,0.000
SW7,166.7313mm,-82.3750mm,Bottom,0.000
SW8,188.1625mm,-82.3750mm,Bottom,0.000
SW9,45.5250mm,-91.7250mm,Bottom,180.000
SW10,59.5750mm,-101.4250mm,Bottom,0.000
SW11,78.6250mm,-101.4250mm,Bottom,0.000
SW12,97.6750mm,-101.4250mm,Bottom,0.000
SW13,116.7250mm,-101.4250mm,Bottom,0.000
SW14,135.7750mm,-101.4250mm,Bottom,0.000
SW15,154.8250mm,-101.4250mm,Bottom,0.000
SW16,181.0188mm,-101.4250mm,Bottom,0.000
SW17,50.2875mm,-110.7750mm,Bottom,180.000
SW18,64.3375mm,-120.4750mm,Bottom,0.000
SW19,83.3875mm,-120.4750mm,Bottom,0.000
SW20,102.4375mm,-120.4750mm,Bottom,0.000
SW21,121.4875mm,-120.4750mm,Bottom,0.000
SW22,140.5375mm,-120.4750mm,Bottom,0.000
SW23,164.3500mm,-120.4750mm,Bottom,0.000
SW24,188.1625mm,-120.4750mm,Bottom,0.000
SW25,59.8125mm,-129.8250mm,Bottom,180.000
SW26,73.8625mm,-139.5250mm,Bottom,0.000
SW27,92.9125mm,-139.5250mm,Bottom,0.000
SW28,111.9625mm,-139.5250mm,Bottom,0.000
SW29,131.0125mm,-139.5250mm,Bottom,0.000
SW30,150.0625mm,-139.5250mm,Bottom,0.000
SW31,169.1125mm,-139.5250mm,Bottom,0.000
SW32,188.1625mm,-139.5250mm,Bottom,0.000
SW33,59.8125mm,-148.8750mm,Bottom,180.000
SW34,81.0063mm,-158.5750mm,Bottom,0.000
SW35,109.5813mm,-158.5750mm,Bottom,0.000
SW36,131.0125mm,-158.5750mm,Bottom,0.000
SW37,150.0625mm,-158.5750mm,Bottom,0.000
SW38,169.1125mm,-158.5750mm,Bottom,0.000
SW39,188.1625mm,-158.5750mm,Bottom,0.000
